YEAR,MONTH,GDD
1995,01,0
1995,02,0
1995,03,13.45
1995,04,54.55
1995,05,263.9
1995,06,412.3
1995,07,426.95
1995,08,511.95
1995,09,290.45
1995,10,149.2
1995,11,0.3
1995,12,0
1996,01,0.85
1996,02,0
1996,03,0
1996,04,53.45
1996,05,309.15
1996,06,556.1
1996,07,587.25
1996,08,226.5
1996,09,156.75
1996,10,153.05
1996,11,2.6
1996,12,0
1997,01,0
1997,02,0
1997,03,0.9
1997,04,70.55
1997,05,279.9
1997,06,566.65
1997,07,588.1
1997,08,561.3
1997,09,430.65
1997,10,188.7
1997,11,5.55
1997,12,4.85
1998,01,0
1998,02,14.45
1998,03,37.05
1998,04,237.8
1998,05,404.65
1998,06,461.55
1998,07,591.3
1998,08,508.4
1998,09,420.35
1998,10,207.15
1998,11,9.85
1998,12,5.85
1999,01,0
1999,02,1.4
1999,03,37.6
1999,04,191.55
1999,05,372.85
1999,06,411
1999,07,595.85
1999,08,559.55
1999,09,340.7
1999,10,157.35
1999,11,68.85
1999,12,7.55
2000,01,0
2000,02,26.05
2000,03,92.05
2000,04,150.6
2000,05,367.85
2000,06,457
2000,07,592.35
2000,08,583.95
2000,09,368
2000,10,205.2
2000,11,30.65
2000,12,0
2001,01,0
2001,02,0
2001,03,6.6
2001,04,169.9
2001,05,394.4
2001,06,495
2001,07,612.5
2001,08,604.2
2001,09,401.2
2001,10,140.4
2001,11,81.5
2001,12,0
2002,01,4.75
2002,02,0.7
2002,03,10.95
2002,04,107.35
2002,05,259.6
2002,06,536.55
2002,07,632.2
2002,08,557.8
2002,09,416.15
2002,10,59.2
2002,11,7.75
2002,12,1.1
2003,01,6.95
2003,02,0
2003,03,42.45
2003,04,187.15
2003,05,373.95
2003,06,490
2003,07,587.7
2003,08,636.15
2003,09,380.7
2003,10,227.5
2003,11,4.45
2003,12,0.25
2004,01,0
2004,02,0
2004,03,14.05
2004,04,134.25
2004,05,254.35
2004,06,439.85
2004,07,570.5
2004,08,440.4
2004,09,430.9
2004,10,196.3
2004,11,56
2004,12,0
2005,01,0
2005,02,0
2005,03,9.8
2005,04,219.35
2005,05,313.45
2005,06,529.25
2005,07,622.75
2005,08,563
2005,09,451.65
2005,10,204.1
2005,11,42.8
2005,12,0
2006,01,0
2006,02,0
2006,03,2.35
2006,04,256.05
2006,05,381.7
2006,06,544.35
2006,07,636.2
2006,08,579.8
2006,09,391.3
2006,10,135.05
2006,11,19.15
2006,12,0
2007,01,1.25
2007,02,0
2007,03,22.35
2007,04,186.35
2007,05,229.1
2007,06,526.2
2007,07,638.45
2007,08,535.6
2007,09,391.4
2007,10,215.65
2007,11,33.6
2007,12,0
2008,01,0
2008,02,0
2008,03,5.15
2008,04,112.55
2008,05,255.35
2008,06,462.85
2008,07,559.55
2008,08,591.4
2008,09,391.4
2008,10,206.1
2008,11,40.1
2008,12,0
2009,01,0
2009,02,1.6
2009,03,12.5
2009,04,116.95
2009,05,274.8
2009,06,471.25
2009,07,525
2009,08,477.4
2009,09,513.35
2009,10,107.7
2009,11,34.15
2009,12,0
2010,01,0.05
2010,02,0
2010,03,52.65
2010,04,255.9
2010,05,384.75
2010,06,487.6
2010,07,631.7
2010,08,602.1
2010,09,354.25
2010,10,193.65
2010,11,60.9
2010,12,0
2011,01,0
2011,02,2.05
2011,03,3.95
2011,04,133.15
2011,05,333.05
2011,06,494.3
2011,07,640.95
2011,08,606.75
2011,09,422.5
2011,10,267.15
2011,11,42.5
2011,12,0.85
2012,01,8.2
2012,02,0
2012,03,146.1
2012,04,207.45
2012,05,406.5
2012,06,535.4
2012,07,679.65
2012,08,579.7
2012,09,383.2
2012,10,140.15
2012,11,8.2
2012,12,0
2013,01,0
2013,02,0
2013,03,0
2013,04,30.8
2013,05,342.65
2013,06,543.75
2013,07,563.9
2013,08,589.6
2013,09,458.1
2013,10,168.25
2013,11,25.65
2013,12,0
2014,01,0
2014,02,0
2014,03,0
2014,04,92.95
2014,05,357.8
2014,06,509.7
2014,07,550.4
2014,08,586.65
2014,09,421.2
2014,10,231.45
2014,11,21.15
2014,12,1
2015,01,1.15
2015,02,0
2015,03,70.45
2015,04,178.3
2015,05,318.6
2015,06,497.6
2015,07,621.35
2015,08,589.7
2015,09,487.85
2015,10,232
2015,11,64.1
2015,12,17.2
2016,01,0
2016,02,1.7
2016,03,60.95
2016,04,128.15
2016,05,441.95
2016,06,520
2016,07,616.75
2016,08,563.4
2016,09,443.15
2016,10,210.25
2016,11,128.35
2016,12,0
2017,01,1.65
2017,02,6.45
2017,03,27.55
2017,04,150.15
2017,05,374.1
2017,06,525.45
2017,07,615.6
2017,08,549.85
2017,09,435.55
2017,10,228.15
2017,11,1.6
2017,12,0
2018,01,0.25
2018,02,0
2018,03,4.7
2018,04,112.85
2018,05,480
2018,06,591
2018,07,572.2
2018,08,600.05
2018,09,340.1
2018,10,100.85
2018,11,0.65
2018,12,0.15
2019,01,0
2019,02,0
2019,03,5.85
2019,04,150.3
2019,05,318.7
2019,06,514.85
2019,07,628.7
2019,08,571.05
2019,09,403.9
2019,10,15.75
2019,11,8.6
2019,12,0
2020,01,0
